name,state,country,latitude,longitude
Hisar,,India,29.15394,75.72294
Fīrozābād,,India,27.15092,78.39781
Kulti,,India,23.73166,86.84372
Karnāl,,India,29.69197,76.98448
Barddhamān,,India,23.25572,87.85691
Gundupālaiyam,,India,11.94096,79.80294
Bārāsat,,India,22.72154,88.48198
Mulugu,,India,18.191,79.943
Bihār Sharīf,,India,25.20084,85.52389
Bāli,,India,22.64859,88.34115
Rāmpur,,India,28.81014,79.02699
Darbhanga,,India,26.15216,85.89707
Panipat,,India,29.38747,76.96825
Tirupati,,India,13.63551,79.41989
Greater Noida,,India,28.49615,77.53601
Noida,,India,28.58,77.33
Aizawl,,India,23.72894,92.71791
Gandhinagar,,India,23.21667,72.68333
Dindigul,,India,10.36896,77.98036
Thanjavur,,India,10.78523,79.13909
Karīmnagar,,India,18.43915,79.12856
Dewas,,India,22.96585,76.05526
Sonīpat,,India,28.99478,77.01937
Ichalkaranji,,India,16.69117,74.46054
Bathinda,,India,30.20747,74.93893
Jālna,,India,19.84102,75.88636
Kirāri Sulemānnagar,,India,28.69736,77.0648
Satna,,India,24.57726,80.82719
Purnia,,India,25.77895,87.47422
Imphal,,India,24.80805,93.9442
Saugor,,India,23.83877,78.73874
Kushinagar,,India,26.74134,83.88689
Rourkela,,India,22.22496,84.86414
Durg,,India,21.19147,81.27619
Anantapur,,India,14.67784,77.60813
Ratlām,,India,23.33033,75.04032
Rānipet,,India,12.92471,79.33331
Lal Bahadur Nagar,,India,17.34769,78.55757
Arrah,,India,25.55629,84.66335
Baranagar,,India,22.64132,88.37727
Gajuwaka,,India,17.7,83.21667
Etāwah,,India,26.77615,79.02133
Ambarnath,,India,19.2,73.16667
Naihāti,,India,22.89396,88.41521
Bharatpur,,India,27.21731,77.49009
Begusarai,,India,25.41853,86.13389
Tiruvottiyūr,,India,13.15823,80.30181
Gāndhīdhām,,India,23.08333,70.13333
Mau,,India,25.94167,83.56111
Sīkar,,India,27.61206,75.13996
Ramagundam,,India,18.755,79.474
Hāpur,,India,28.72985,77.78068
Farrukhābād,,India,27.39134,79.5793
Alappuzha,,India,9.49004,76.3264
Katihar,,India,25.53852,87.57044
Sri Ganganagar,,India,29.92009,73.87496
Rewa,,India,24.53256,81.29234
Uluberiya,,India,22.4756,88.09898
Sivakasi,,India,9.44999,77.79797
Karur,,India,10.95771,78.08095
Rāichūr,,India,16.20546,77.35567
Pallāvaram,,India,12.96796,80.15025
Ooty,,India,11.4134,76.69521
Pāli,,India,25.77276,73.32335
Hosūr,,India,12.73647,77.83264
Vizianagaram,,India,18.11692,83.41148
Shrīrāmpur,,India,22.75278,88.34222
Quthbullapur,,India,17.50107,78.45818
Nadiād,,India,22.69385,72.86157
Nāgercoil,,India,8.17899,77.43227
Karāwalnagar,,India,28.72712,77.27047
Mango,,India,22.8275,86.21639
Murwāra,,India,23.83776,80.39405
Kanchipuram,,India,12.83515,79.70006
Singrauli,,India,24.19973,82.67535
Mirzāpur,,India,25.1449,82.56534
Kharagpur,,India,22.33971,87.32501
Eluru,,India,16.71311,81.10437
Rāniganj,,India,17.42841,78.49361
Yamuna Nagar,,India,30.12796,77.28371
Raurkela Industrial Township,,India,22.19994,84.86176
Bidar,,India,17.90802,77.51524
Munger,,India,25.37459,86.47455
Nandyāl,,India,15.47799,78.4836
Panchkula,,India,30.69461,76.8504
Burhānpur,,India,21.30868,76.23026
Morvi,,India,22.81731,70.8377
Anand,,India,22.55251,72.9552
Ongole,,India,15.50357,80.04454
Hosapete,,India,15.26954,76.3871
Nāngloi Jāt,,India,28.67957,77.06799
Secunderabad,,India,17.50427,78.54263
Deoghar,,India,24.48983,86.69902
Chāpra,,India,25.78031,84.74709
Khandwa,,India,21.82427,76.35086
Puri,,India,19.79825,85.82494
Morena,,India,26.49892,77.99534
Gyānpur,,India,25.33268,82.46637
Bulandshahr,,India,28.40392,77.85773
Bhind,,India,26.56671,78.78728
Bhālswa Jahangirpur,,India,28.73558,77.16682
Khammam,,India,17.24767,80.14368
Sambhal,,India,28.58498,78.56959
Bhiwāni,,India,28.79304,76.13968
Panvel,,India,18.98878,73.11013
Ambāla,,India,30.36099,76.79782
Kumarapalayam,,India,11.44495,77.71102
Machilīpatnam,,India,16.18747,81.13888
Mahesāna,,India,23.59864,72.38472
Mahbūbnagar,,India,16.74385,77.98597
Sambalpur,,India,21.46527,83.97573
Bhusawal,,India,21.04365,75.78506
Raebareli,,India,26.2309,81.23315
Haridwar,,India,29.94791,78.16025
Phusro,,India,23.75644,86.0051
Adoni,,India,15.62788,77.27495
Sūjāngarh,,India,27.7,74.46667
Sirsa,,India,29.53489,75.02898
Dinapur Nizamat,,India,25.63847,85.05118
Bahraigh,,India,27.57429,81.59474
Kāraikkudi,,India,10.06615,78.76784
Sultan Pur Majra,,India,28.68966,77.07648
Guna,,India,24.64691,77.3113
Chandannagar,,India,22.86225,88.36796
Baharampur,,India,24.10473,88.25155
Shahuwadi,,India,16.90993,73.94654
Madanapalle,,India,13.5503,78.50288
Shivpuri,,India,25.42378,77.66223
Surendranagar,,India,22.72706,71.64856
Neyveli,,India,11.60877,79.4994
Silchar,,India,24.82733,92.79787
Proddatūr,,India,14.7502,78.54813
Hugli,,India,22.90877,88.39674
Hashtsāl,,India,28.63406,77.05771
Amroha,,India,28.90314,78.46984
Chhindwāra,,India,22.05697,78.93958
Tambaram,,India,12.9246,80.12707
Bhetia,,India,22.79321,86.14098
Pathānkot,,India,32.27484,75.65287
Badlapur,,India,19.15516,73.26553
Cuddalore,,India,11.75617,79.76693
Shimla,,India,31.10442,77.16662
Gadag-Betageri,,India,15.4167,75.6167
Gadag,,India,15.42977,75.62971
Verāval,,India,20.9077,70.36786
Navsari,,India,20.94237,72.92467
Bahadurgarh,,India,28.69287,76.93555
Haldia,,India,22.06046,88.10975
Rāiganj,,India,25.61281,88.12449
Malda,,India,25.00447,88.14573
Jaunpur,,India,25.75356,82.68689
Deoli,,India,28.50254,77.23117
Bharūch,,India,21.69482,72.9805
Hoshiārpur,,India,31.53723,75.91269
Jīnd,,India,29.31577,76.31502
Kumbakonam,,India,10.96209,79.39124
Mohali,,India,30.67995,76.72211
Fatehpur,,India,25.92774,80.81266
Tonk,,India,26.16638,75.78824
Udupi,,India,13.33467,74.74617
Thenali,,India,16.24253,80.63982
Sītāpur,,India,27.56192,80.68265
Alandur,,India,13.0025,80.20611
Bhadrāvati,,India,13.84846,75.70502
Vapi,,India,20.37175,72.90493
Moga,,India,30.81383,75.16878
Rāj-Nāndgaon,,India,21.09687,81.0289
Robertsonpet,,India,12.95629,78.27539
Unnāo,,India,26.54706,80.48781
Budaun,,India,28.03811,79.12668
Madhyamgram,,India,22.68944,88.44594
Chittoor,,India,13.21055,79.0956
Jāmuria,,India,23.70468,87.07872
Jaigaon,,India,26.84766,89.37558
Batāla,,India,31.80921,75.20294
Orai,,India,25.99023,79.45334
Saharsa,,India,25.87498,86.59611
Vidisha,,India,23.52604,77.81092
Hanumāngarh,,India,29.58182,74.32938
Thānesar,,India,29.97323,76.83214
Hassan,,India,13.00715,76.0962
Kishangarh,,India,26.59006,74.85397
Dalūpura,,India,28.6057,77.31901
Rudrapur,,India,28.98,79.4
Nalgonda,,India,17.05439,79.26707
Hazāribāgh,,India,23.99241,85.36162
Medinīpur,,India,22.42114,87.32257
Bālurghāt,,India,25.22099,88.77732
Fyzābād,,India,26.77549,82.15018
Dinapore,,India,25.63705,85.04794
Porbandar,,India,21.64219,69.60929
Bānda,,India,25.47758,80.33491
Hindupur,,India,13.82807,77.49143
Beāwar,,India,26.10119,74.32028
Anantnag,,India,33.73068,75.15418
Serilingampalle,,India,17.49313,78.30196
Raigarh,,India,21.89764,83.3966
Malkajgiri,,India,17.44781,78.52633
Shāntipur,,India,23.24723,88.43302
Bhuj,,India,23.25397,69.66928
Bārākpur,,India,22.76602,88.36336
Hājīpur,,India,25.68544,85.20981
Sasarām,,India,24.94942,84.01645
Bhimavaram,,India,16.54078,81.52322
Beed,,India,18.98921,75.75634
Burāri,,India,28.7557,77.19941
Krishnanagar,,India,23.40576,88.49073
Chitradurga,,India,14.22262,76.40038
Dibrugarh,,India,27.47989,94.90837
Abohar,,India,30.14453,74.19552
Tiruvannamalai,,India,12.22662,79.07461
Kaithal,,India,29.80153,76.39959
Balasore,,India,21.49266,86.93348
Godhra,,India,22.77547,73.61488
Shillong,,India,25.56892,91.88313
Rewāri,,India,28.199,76.6183
Basirhat City,,India,22.66142,88.85477
Chhatarpur,,India,24.9177,79.58871
Mandsaur,,India,24.07184,75.06986
Chas,,India,23.63556,86.16712
Pālanpur,,India,24.17128,72.43827
Lakhīmpur,,India,27.94822,80.77935
Valsād,,India,20.61013,72.93428
Damoh,,India,23.83312,79.4419
Haldwani,,India,29.22254,79.5286
Hābra,,India,22.84202,88.65606
Kolār,,India,13.13768,78.12999
Srikakulam,,India,18.2989,83.89751
Mandya,,India,12.5223,76.89746
Madhurampur Dehri,,India,24.96899,84.1964
Kānchrāpāra,,India,22.95998,88.42849
Dimāpur,,India,25.91174,93.7217
Māler Kotla,,India,30.5309,75.87949
Siwān,,India,26.22096,84.35609
Kalol,,India,23.24656,72.49508
Bānkura,,India,23.23241,87.0716
Pātan,,India,23.8507,72.12963
Gondā City,,India,27.13181,81.95332
Dhaulpur,,India,26.69286,77.87968
Gondiā,,India,21.46026,80.19205
Palakkad,,India,10.77319,76.65366
Bettiah,,India,26.80229,84.50311
Palwal,,India,28.14469,77.32546
Rānīganj,,India,23.6164,87.13061
Etah,,India,27.55879,78.65692
Pīlibhīt,,India,28.63124,79.80436
Rajapalayam,,India,9.45296,77.55335
Botad,,India,22.16917,71.66671
Deoria,,India,26.50167,83.77936
Nimach,,India,24.45949,74.86625
Khardah,,India,22.71861,88.37806
Yavatmāl,,India,20.39324,78.13201
Hālīsahar,,India,22.93218,88.41859
Khanna,,India,30.70547,76.22196
Titāgarh,,India,22.74252,88.37326
Mustafābād,,India,28.71974,77.26781
Hāthras,,India,27.59551,78.05201
Jorhat,,India,26.75751,94.20306
Lalitpur,,India,24.69007,78.41915
Guntakal,,India,15.17112,77.36244
Pithampur,,India,22.60197,75.69649
Mothīhāri,,India,26.64862,84.91656
Kanhangad,,India,12.30814,75.10632
Jagdalpur,,India,19.08136,82.02131
Jagādhri,,India,30.16719,77.30367
Dārjiling,,India,27.03333,88.26667
Kurichchi,,India,10.96085,76.97379
Dam Dam,,India,22.63341,88.42286
Hardoī,,India,27.39491,80.13165
Puruliya,,India,23.33062,86.36303
Dharmavaram,,India,14.41435,77.72035
Gokalpur,,India,28.7029,77.28961
Bhadreswar,,India,22.82449,88.33841
Nagaon,,India,26.35,92.66667
Vejalpur,,India,22.69021,73.56299
Chikmagalūr,,India,13.32231,75.774
Bhadrak,,India,21.05447,86.5156
Sawai Madhopur,,India,26.02301,76.34408
Ambikāpur,,India,23.11892,83.19537
Mandoli,,India,28.70275,77.30995
Satara,,India,17.68589,73.99333
Chūru,,India,28.30415,74.96718
Gangāpur,,India,26.47249,76.71744
Madhavaram,,India,13.14819,80.2314
Dohad,,India,22.83283,74.25986
Barshi,,India,18.23454,75.69275
Ādilābād,,India,19.67203,78.5359
Jhunjhunūn,,India,28.12559,75.39797
Jetpur,,India,21.75482,70.62347
Uppal Kalan,,India,17.40577,78.55911
Gudivāda,,India,16.43547,80.99555
Bārān,,India,25.1,76.51667
Narmadapuram,,India,22.74747,77.72736
Amreli,,India,21.59983,71.21169
Pudukkottai,,India,10.38128,78.82141
Narasaraopet,,India,16.23488,80.04927
Rishra,,India,22.72394,88.34563
Baripāda,,India,21.93458,86.72852
Muktsar,,India,30.47426,74.5166
Azamgarh,,India,26.06832,83.18358
Barnāla,,India,30.37451,75.5487
Yelahanka,,India,13.10073,77.59632
Chittorgarh,,India,24.88963,74.62403
Tinsukia,,India,27.48905,95.35992
Khargone,,India,21.82292,75.61394
Baidyabāti,,India,22.78498,88.32586
Bastī,,India,26.78817,82.71617
Gangavati,,India,15.4313,76.52933
Ambur,,India,12.79163,78.71644
Giridih,,India,24.18622,86.30875
Wardha,,India,20.73933,78.59784
Tadepalligudem,,India,16.81467,81.52717
Chanduasi,,India,28.45178,78.78277
Bagaha,,India,27.09918,84.09003
Achalpur,,India,21.25665,77.51006
Gondal,,India,21.96074,70.80255
Dharashiv,,India,18.18158,76.03889
Port Blair,,India,11.66613,92.74635
Bagalkot,,India,16.18673,75.69614
Suriāpet,,India,17.14054,79.62045
Bangaon,,India,23.04553,88.83084
Ashoknagar Kalyangarh,,India,22.86416,88.63701
Deesa,,India,24.25612,72.17928
Navadwīp,,India,23.4067,88.36861
Nandurbar,,India,21.36671,74.24051
Sultānpur,,India,26.25788,82.07269
Delhi Cantonment,,India,28.6,77.13333
Firozpur,,India,30.92574,74.61311
Sehore,,India,23.2,77.08333
Bānsbāria,,India,22.95387,88.40098
Tadpatri,,India,14.90832,78.01031
Jalpāiguri,,India,26.51667,88.73333
Mangalagiri,,India,16.43083,80.56815
Ranebennur,,India,14.62239,75.62951
Khurja,,India,28.25382,77.85535
Kishanganj,,India,26.10224,87.95534
Ponnāni,,India,10.76695,75.92523
Hindaun,,India,26.73411,77.03519
Jamālpur,,India,25.31258,86.48888
Nāgaur,,India,27.20201,73.73394
Ambala Sadar,,India,30.33544,76.86265
Bhiwadi,,India,28.21024,76.86056
Būndi,,India,25.43855,75.63735
Miryalaguda,,India,16.8722,79.56247
Soyībug,,India,34.07677,74.7057
Jagtiāl,,India,18.79473,78.91661
Roorkee,,India,29.86632,77.89118
Udgīr,,India,18.39258,77.11756
Nagda,,India,23.45834,75.41759
Betūl,,India,21.90056,77.90229
Jahānābād,,India,25.21368,84.9871
Kashipur,,India,29.21399,78.95693
Ghazīpur,,India,25.58333,83.58526
Amaravati,,India,16.514,80.516
Nagapattinam,,India,10.76377,79.84313
Buxar,,India,25.57548,83.98043
Mormugao,,India,15.38914,73.81491
Seoni,,India,22.08503,79.55037
Aurangābād,,India,24.75204,84.3742
Hinganghāt,,India,20.54875,78.83978
Dhamtari,,India,20.70718,81.54874
Chilakalūrupet,,India,16.08987,80.16705
Malappuram,,India,11.04199,76.08154
Bānswāra,,India,23.54109,74.4425
Chirmiri,,India,23.19073,82.35314
Itārsi,,India,22.61477,77.76222
Vasco da Gama,,India,15.39585,73.81568
Gangtok,,India,27.32574,88.61216
Datia,,India,25.67312,78.45908
Phagwāra,,India,31.22452,75.77387
Airoli,,India,19.15096,72.99625
Luckeesarai,,India,25.1765,86.0947
Shikohābād,,India,27.108,78.58661
Kāsganj,,India,27.80882,78.64579
Khambhāt,,India,22.31744,72.61916
Kohima,,India,25.67467,94.11099
Pandharpur,,India,17.67924,75.33098
Kapurthala Town,,India,31.38011,75.38105
Mahuva,,India,21.09007,71.76904
Silvassa,,India,20.27386,72.99673
Balāngīr,,India,20.70419,83.49029
Mughal Sarāi,,India,25.28307,83.11968
Nawāda,,India,24.8867,85.54364
Bhilai Charoda,,India,21.22305,81.45609
Shāmli,,India,29.4497,77.30959
Jharsuguda,,India,21.85531,84.00698
Sādatpur Gujran,,India,28.72834,77.24817
Chalisgaon,,India,20.45781,75.01596
Villupuram,,India,11.93975,79.49244
Amalner,,India,21.03983,75.05887
Tellicherry,,India,11.74811,75.4929
Manjeri,,India,11.12018,76.11996
Birgaon,,India,21.30758,81.62793
Bārmer,,India,25.74572,71.39211
Pūth Kalān,,India,28.7116,77.07887
Kuniyamuttūr,,India,10.96376,76.95254
Sardārshahr,,India,28.44062,74.491
Sāhibganj,,India,25.24425,87.63481
Sānand,,India,22.99227,72.38177
Paramagudi,,India,9.54633,78.5907
Zerakpur,,India,30.65622,76.82093
Tiruchengode,,India,11.38016,77.89444
Closepet,,India,12.72181,77.28149
Emmiganūr,,India,15.77203,77.48345
Vaniyambadi,,India,12.68162,78.62014
Kovilpatti,,India,9.17167,77.86989
Parli Vaijnāth,,India,18.85057,76.53163
Mainpuri,,India,27.22857,79.02882
Khāmgaon,,India,20.70738,76.56827
Makrāna,,India,27.04361,74.72445
Allinagaram,,India,10.02737,77.47815
Gudiyatham,,India,12.94601,78.87377
Dhār,,India,22.59373,75.29774
Baraut,,India,29.10199,77.26334
Kalyani,,India,22.9757,88.4337
Doddaballapura,,India,13.29452,77.53777
Chīrāla,,India,15.82385,80.35219
Akot,,India,21.0963,77.0588
Fatehpur,,India,27.99486,74.95628
Gharroli,,India,28.6167,77.33207
Rajpura,,India,30.47856,76.59284
Ballarpur,,India,19.84696,79.34578
Kot Kapūra,,India,30.58061,74.82609
Bhandāra,,India,21.16817,79.64885
Molārband,,India,28.50295,77.31442
Bagaha,,India,24.52898,85.06019
Rayachoti,,India,14.05723,78.75056
Kadayanallur,,India,9.07277,77.34152
Valparai,,India,10.32691,76.95116
Pollachi,,India,10.65825,77.0085
Kāvali,,India,14.9163,79.99449
Roha,,India,18.43687,73.11964
Mancherial,,India,18.87074,79.42863
Avaniyāpuram,,India,9.88179,78.11255
Murādnagar,,India,28.78069,77.49865
Ankleshwar,,India,21.63236,72.99001
Kadiri,,India,14.11168,78.15982
Shahdol,,India,23.29356,81.3619
Shrirampur,,India,19.62201,74.65699
Mahobā,,India,25.2905,79.87533
Rāmgarh,,India,23.6303,85.52156
Contai,,India,21.77985,87.74892
Sangrūr,,India,30.24506,75.84488
Nirmal,,India,19.09685,78.34407
Deoband,,India,29.69505,77.67964
Neyyāttinkara,,India,8.39854,77.08586
Tāndā,,India,26.54953,82.65841
Kolar,,India,23.16478,77.41893
Jhumri Telaiya,,India,24.4349,85.52951
Aruppukkottai,,India,9.5096,78.09588
Farīdkot,,India,30.67399,74.75579
Madgaon,,India,15.27501,73.95786
Velampālaiyam,,India,11.13764,77.31064
Jamūī,,India,24.92606,86.22531
Anjār,,India,23.11316,70.02671
Paralakhemundi,,India,18.77619,84.09504
Jharia,,India,23.74079,86.41456
Kāraikāl,,India,10.91667,79.83333
Kāmthi,,India,21.21615,79.1973
Hānsi,,India,29.10239,75.96253
Mayiladuthurai,,India,11.10354,79.655
Anakapalle,,India,17.69134,83.00395
Maduravoyal,,India,13.0675,80.1632
Sārni,,India,22.10317,78.17159
Dausa,,India,26.89,76.33584
Parādīp Garh,,India,20.31641,86.6085
Hingoli,,India,19.71464,77.14238
Bāruni,,India,25.47509,85.96813
Jeypore,,India,18.8563,82.5716
Bijnor,,India,29.373,78.13636
Dhoraji,,India,21.73359,70.45004
Vīrappanchathiram,,India,11.35314,77.71253
Bālāghāt,,India,21.8156,80.18845
Udhampur,,India,32.92431,75.13573
Najībābād,,India,29.61194,78.34274
Idaiyarpālaiyam,,India,11.03937,76.92369
Harihar,,India,14.51288,75.80716
Chilla Soroda Bāngar,,India,28.59572,77.30189
Sirsilla,,India,18.38865,78.81048
Karauli,,India,26.49831,77.02755
Mānsa,,India,29.98844,75.40167
Jangipur,,India,24.47001,88.07659
Gobindgarh,,India,30.67089,76.30192
Saunda,,India,23.66453,85.32694
Maraimalainagar,,India,12.79782,80.02502
Ashoknagar,,India,24.57578,77.73123
Phulwari Sharif,,India,25.57765,85.07246
Mhow,,India,22.5589,75.76543
Malout,,India,30.21121,74.4818
Kadi,,India,23.29908,72.33362
Vijalpor,,India,20.92212,72.90945
Palakollu,,India,16.5167,81.73
Himatnagar,,India,23.59893,72.96602
Dholka,,India,22.72732,72.44128
Kotkapura,,India,30.5819,74.83298
Bargarh,,India,21.33348,83.61905
Kharghar,,India,19.04979,73.07024
Kairāna,,India,29.39541,77.2054
Brajarajnagar,,India,21.81667,83.91667
Kāmāreddi,,India,18.32001,78.34177
Palwancha,,India,17.58152,80.67651
Manmād,,India,20.25334,74.43755
Srikalahasti,,India,13.75514,79.70143
Kottagūdem,,India,17.55106,80.61779
Nawābganj,,India,26.93129,81.19841
Gokak,,India,16.16901,74.82393
Tīkamgarh,,India,24.74327,78.83061
Arakkonam,,India,13.08449,79.67053
Arāria,,India,26.14934,87.51323
Koch Bihār,,India,26.32539,89.44508
Kharakvasla,,India,18.43997,73.77545
Bhadohi,,India,25.39526,82.5703
Kātoya,,India,23.64558,88.13258
Medininagar,,India,24.03971,84.0658
Wāshīm,,India,20.11128,77.133
Bagbera,,India,22.75948,86.19049
Savarkundla,,India,21.33726,71.3035
Basoda,,India,23.85153,77.93652
Tanuku,,India,16.75438,81.68143
Gurdaspur,,India,32.03933,75.40318
Edattala,,India,10.05639,76.38451
Bodhan,,India,18.66208,77.88581
Balrāmpur,,India,27.42949,82.18545
Bāramūla,,India,34.209,74.34285
Karwar,,India,14.81361,74.12972
Dhuliān,,India,24.68127,87.9535
Rabkavi-Banhatti,,India,16.47,75.12
Mawāna,,India,29.10288,77.92199
Shirpur,,India,21.34821,74.88035
Budge Budge,,India,22.48275,88.18176
Kundla,,India,21.34222,71.30633
Visnagar,,India,23.69855,72.5521
Kannauj,,India,27.05524,79.9188
Khajoori Khas,,India,28.70958,77.2587
Neelankarai,,India,12.9495,80.2592
Nagīna,,India,29.44433,78.43646
Badagara,,India,11.59776,75.58142
Fazilka,,India,30.40207,74.02836
Electronic City Phase I,,India,12.85492,77.6633
Ratnagiri,,India,16.99154,73.31022
Keshod,,India,21.30328,70.24861
Konnagar,,India,22.70508,88.34446
Chintamani,,India,13.40051,78.05172
Pammal,,India,12.975,80.13472
Sindhnūr,,India,15.76983,76.75581
Madhubani,,India,26.35367,86.07169
Bodināyakkanūr,,India,10.01171,77.34976
